q1,q2,q3,q4,q5,q8,q9,q11,q12,q15,q16,q17,q18,q21,q22,q23,q24,q26,q34,q37,q38,q39,q44,q49,q60,q64,q65,q66,q81,q82,q84,q88,q97,q89
5,2,3,2,3,2,5,1,1,1,1,2,3,2,2,2,1,2,-1,1,6,1,1,4,1,3,2,4,5,7,1,4,1,At Risk
5,1,3,1,4,2,5,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,-1,1,1,5,1,Not At Risk
6,2,4,2,5,1,5,1,1,1,3,-1,-1,-1,1,-1,1,1,-1,-1,-1,2,1,-1,1,3,2,-1,1,6,1,5,3,Not At Risk
6,2,4,2,5,2,5,2,4,1,1,1,2,2,1,1,2,1,2,1,4,1,2,6,1,3,2,4,4,5,2,3,1,At Risk
5,1,3,2,5,1,4,1,1,1,1,1,1,1,4,5,1,1,4,1,1,1,2,1,1,3,2,4,2,2,1,1,2,Not At Risk
7,2,4,2,5,2,5,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,-1,4,1,2,3,2,1,7,2,2,3,At Risk
6,2,4,2,4,-1,5,-1,-1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,3,3,-1,5,2,3,4,2,Not At Risk
6,1,4,2,3,2,4,1,1,1,1,1,1,2,3,2,2,1,1,1,2,1,2,3,1,3,3,2,3,7,1,2,1,At Risk
6,1,4,2,3,1,5,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,3,4,2,1,1,Not At Risk
6,2,3,2,3,3,5,2,2,1,1,2,1,2,1,1,2,2,2,1,1,1,1,2,1,3,2,3,5,4,2,5,1,At Risk
4,2,2,1,5,2,4,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,3,1,3,2,3,2,2,4,4,1,Not At Risk
5,2,2,1,35,2,4,1,1,1,1,1,3,2,2,2,2,1,-1,1,1,1,1,4,2,1,1,1,7,5,1,4,1,Not At Risk
4,2,2,2,5,5,5,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,6,2,6,3,Not At Risk
4,2,2,1,2,1,4,2,3,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,4,4,1,4,1,At Risk
